sess_num;sess_type;n_trials;seq_keys;seq_type;sequence_string;seq_train;seq_color;seq_permutation;seq_order;paced;instruct
1;training;20;1 2 3 4;type1;1 - 2 4 - 3 - 1 2 - 4;trained;#0082c8;[0, 2, 1];0;0;1
1;training;20;1 2 3 4;type1;1 4 - 3 - 2 4 - 1 3 4 - 1 2;trained;#3cb44b;[0, 2, 1];2;0;0
1;training;20;1 2 3 4;type1;2 3 - 1 3 4 - 2 4 - 1 2 3 - 3 4;trained;#911eb4;[0, 2, 1];1;0;0
1;training;5;1 2 3 4;type1;1 - 2 4 - 3 - 1 2 - 4;trained;#0082c8;[0, 2, 1];0;1;1
1;training;5;1 2 3 4;type1;1 4 - 3 - 2 4 - 1 3 4 - 1 2;trained;#3cb44b;[0, 2, 1];2;1;0
1;training;5;1 2 3 4;type1;2 3 - 1 3 4 - 2 4 - 1 2 3 - 3 4;trained;#911eb4;[0, 2, 1];1;1;0
2;training;20;1 2 3 4;type1;2 3 - 1 3 4 - 2 4 - 1 2 3 - 3 4;trained;#911eb4;[1, 0, 2];1;0;1
2;training;20;1 2 3 4;type1;1 - 2 4 - 3 - 1 2 - 4;trained;#0082c8;[1, 0, 2];0;0;0
2;training;20;1 2 3 4;type1;1 4 - 3 - 2 4 - 1 3 4 - 1 2;trained;#3cb44b;[1, 0, 2];2;0;0
2;training;5;1 2 3 4;type1;2 3 - 1 3 4 - 2 4 - 1 2 3 - 3 4;trained;#911eb4;[1, 0, 2];1;1;1
2;training;5;1 2 3 4;type1;1 - 2 4 - 3 - 1 2 - 4;trained;#0082c8;[1, 0, 2];0;1;0
2;training;5;1 2 3 4;type1;1 4 - 3 - 2 4 - 1 3 4 - 1 2;trained;#3cb44b;[1, 0, 2];2;1;0
3;training;20;1 2 3 4;type1;2 3 - 1 3 4 - 2 4 - 1 2 3 - 3 4;trained;#911eb4;[1, 2, 0];1;0;1
3;training;20;1 2 3 4;type1;1 4 - 3 - 2 4 - 1 3 4 - 1 2;trained;#3cb44b;[1, 2, 0];2;0;0
3;training;20;1 2 3 4;type1;1 - 2 4 - 3 - 1 2 - 4;trained;#0082c8;[1, 2, 0];0;0;0
3;training;5;1 2 3 4;type1;2 3 - 1 3 4 - 2 4 - 1 2 3 - 3 4;trained;#911eb4;[1, 2, 0];1;1;1
3;training;5;1 2 3 4;type1;1 4 - 3 - 2 4 - 1 3 4 - 1 2;trained;#3cb44b;[1, 2, 0];2;1;0
3;training;5;1 2 3 4;type1;1 - 2 4 - 3 - 1 2 - 4;trained;#0082c8;[1, 2, 0];0;1;0
4;training;20;1 2 3 4;type1;1 4 - 3 - 2 4 - 1 3 4 - 1 2;trained;#3cb44b;[2, 0, 1];2;0;1
4;training;20;1 2 3 4;type1;1 - 2 4 - 3 - 1 2 - 4;trained;#0082c8;[2, 0, 1];0;0;0
4;training;20;1 2 3 4;type1;2 3 - 1 3 4 - 2 4 - 1 2 3 - 3 4;trained;#911eb4;[2, 0, 1];1;0;0
4;training;5;1 2 3 4;type1;1 4 - 3 - 2 4 - 1 3 4 - 1 2;trained;#3cb44b;[2, 0, 1];2;1;1
4;training;5;1 2 3 4;type1;1 - 2 4 - 3 - 1 2 - 4;trained;#0082c8;[2, 0, 1];0;1;0
